id,created_at,qty,asset,transfer_type,status,underlying,instrument_type,fee_type,funding_rate
0b4e28dc-2f24-4a74-9924-e39e000ac8c5,2026-05-02T08:00:00Z,-8.341712000000,USDC,funding,confirmed,HYPE,perpetual_future,,0.0001
3f783216-b2a3-4c8a-b822-abaa3f15b5b1,2026-05-02T08:00:00Z,-35.279142000000,USDC,funding,confirmed,BTC,perpetual_future,,-0.0000176730593607306
48e781ba-a9af-4f62-9b39-6f262b11391a,2026-05-02T08:00:00Z,-2.746356000000,USDC,funding,confirmed,DOGE,perpetual_future,,0.0001
55294bc7-39ca-4b3b-a824-ebad1b207ceb,2026-05-02T08:00:00Z,2.548340000000,USDC,funding,confirmed,BNB,perpetual_future,,-0.0000592
9b167c43-0351-4a80-a1c4-ee1722aa0f11,2026-05-02T08:00:00Z,-0.581331000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
ad918f9c-ae5c-4ede-97e3-4db9fd79c5a8,2026-05-02T08:00:00Z,9.683132000000,USDC,funding,confirmed,ETH,perpetual_future,,-0.00000594246575342466
c6adce17-91f1-4a47-8950-23ed899e1405,2026-05-02T08:00:00Z,10.577218000000,USDC,funding,confirmed,MON,perpetual_future,,-0.000489751598173516
0a814619-dbb5-4ba6-9f5a-9b46b330a52a,2026-05-02T04:00:00Z,-0.587922000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
42a89a3a-ccf2-4e0b-b43f-96d66a96f4e0,2026-05-02T00:00:00Z,-54.882969000000,USDC,funding,confirmed,ETH,perpetual_future,,0.00003373881278538813
5a5034a6-dfd0-4848-914c-ec810de5e56f,2026-05-02T00:00:00Z,-0.596160000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
a3123d64-7786-4f37-b9db-a6474d437b02,2026-05-02T00:00:00Z,-6.246393000000,USDC,funding,confirmed,HYPE,perpetual_future,,0.0000758739726027397
af31b66f-e9d5-44fa-b7b8-8b5651972932,2026-05-02T00:00:00Z,57.585219000000,USDC,funding,confirmed,BTC,perpetual_future,,0.00002882283105022831
b4b3adbe-1097-4251-962e-669dba935851,2026-05-02T00:00:00Z,-2.764189000000,USDC,funding,confirmed,DOGE,perpetual_future,,0.0001
d49d3a2b-adfc-4305-9fc6-2e5730a4b979,2026-05-02T00:00:00Z,5.257500000000,USDC,funding,confirmed,MON,perpetual_future,,-0.0002431114155251142
e1356c8d-3336-4d45-a441-89eae0e99f4c,2026-05-02T00:00:00Z,-4.305896000000,USDC,funding,confirmed,BNB,perpetual_future,,0.0001
48e3cbc5-aaa4-4569-aab4-0e1e3478be5d,2026-05-01T20:00:00Z,-0.603081000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
260fdbe6-77ba-4d3f-8259-f5273df73d83,2026-05-01T16:00:00Z,26.832533000000,USDC,funding,confirmed,MON,perpetual_future,,-0.001244901369863014
3b2a493c-7d87-4d61-ac4a-c2d117c02941,2026-05-01T16:00:00Z,-0.600049000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
41e9502d-7e0b-4c26-b789-26c398181705,2026-05-01T16:00:00Z,3.678307000000,USDC,funding,confirmed,BTC,perpetual_future,,0.000001834703196347032
4b3947a9-1c9f-4fd6-aaa4-9a83353c1f61,2026-05-01T16:00:00Z,-2.634417000000,USDC,funding,confirmed,ETH,perpetual_future,,0.000001609132420091324
799285c5-b4b9-4ef1-938f-5f9fb01bcce7,2026-05-01T16:00:00Z,4.155432000000,USDC,funding,confirmed,HYPE,perpetual_future,,-0.0000506648401826484
b2a97b5a-8e66-469f-bfb1-6fc29325a464,2026-05-01T16:00:00Z,-2.789666000000,USDC,funding,confirmed,DOGE,perpetual_future,,0.0001
ba850aad-1977-4679-8b44-8838d01a0d7d,2026-05-01T16:00:00Z,-4.345929000000,USDC,funding,confirmed,BNB,perpetual_future,,0.0001
36c5a78e-1a91-4d00-bd68-854b841ad635,2026-05-01T12:00:00Z,-0.592469000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
17d03a2f-5bd1-456c-b0af-e3aec0b487fd,2026-05-01T08:00:00Z,-34.008925000000,USDC,funding,confirmed,ETH,perpetual_future,,0.00002105479452054794
2ef7f93e-2293-4b09-9ef7-036db52bfe7b,2026-05-01T08:00:00Z,-2.753999000000,USDC,funding,confirmed,DOGE,perpetual_future,,0.0001
50cef312-9012-4b3a-b9b9-51bd2c00c242,2026-05-01T08:00:00Z,-0.591283000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
7c5b28b3-7c03-49ee-b231-c836d00652b1,2026-05-01T08:00:00Z,35.833337000000,USDC,funding,confirmed,BTC,perpetual_future,,0.00001819543378995434
9baac0af-7576-4500-a754-638c40a845b8,2026-05-01T08:00:00Z,-4.318111000000,USDC,funding,confirmed,BNB,perpetual_future,,0.0001
d07fdc9b-2b1a-46b4-9777-c5b5d2e026ac,2026-05-01T08:00:00Z,8.324936000000,USDC,funding,confirmed,HYPE,perpetual_future,,-0.0001042639269406393
e6267e4e-84aa-48e8-97da-b33808f66d71,2026-05-01T08:00:00Z,17.408672000000,USDC,funding,confirmed,MON,perpetual_future,,-0.000838173515981735
b16cf476-14ad-422c-81ed-387f6d52461b,2026-05-01T04:00:00Z,-0.585153000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
183c9045-2afa-4516-99c1-1fcfd71d9cd0,2026-05-01T00:00:00Z,-2.710689000000,USDC,funding,confirmed,DOGE,perpetual_future,,0.0001
33539cb7-2713-4f27-a7ee-cff1ad99305b,2026-05-01T00:00:00Z,-9.879271000000,USDC,funding,confirmed,BTC,perpetual_future,,-0.00000517077625570776
450fccda-88dd-41d7-b14b-a022dd01f3e6,2026-05-01T00:00:00Z,-0.583110000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
5ffd02b9-1c81-4d88-807f-539780aa0bae,2026-05-01T00:00:00Z,7.492870000000,USDC,funding,confirmed,ETH,perpetual_future,,-0.00000468401826484018
62ddfc39-e974-45bd-837d-4ef4d193f2d3,2026-05-01T00:00:00Z,-0.376675000000,USDC,funding,confirmed,BNB,perpetual_future,,0.00000875159817351598
70015522-645d-4ac9-b692-cdba9ee13f09,2026-05-01T00:00:00Z,-1.675467000000,USDC,funding,confirmed,HYPE,perpetual_future,,0.00002110593607305936
b3a13286-80e4-4d46-8b6b-3e6cc752484b,2026-05-01T00:00:00Z,11.486884000000,USDC,funding,confirmed,MON,perpetual_future,,-0.00058809497716895
7d8f8daf-b468-4e19-a60b-fff12692463e,2026-04-30T20:00:00Z,-0.585153000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
28a3541e-9538-4d54-ba5f-bc2d7861d83a,2026-04-30T16:00:00Z,5.587949000000,USDC,funding,confirmed,MON,perpetual_future,,-0.0002835799086757991
36c43b51-bd65-4854-bfe4-1264f6a7e8dc,2026-04-30T16:00:00Z,-0.592931000000,USDC,funding,confirmed,LIGHTER,perpetual_future,,0.00005
3ab9d658-e0f6-49fa-b538-6e19c7f8a761,2026-04-30T16:00:00Z,97.580985000000,USDC,funding,confirmed,ETH,perpetual_future,,-0.0000607844748858448
5d594910-4a10-475f-abfc-bc47205c1305,2026-04-30T16:00:00Z,-3.613434000000,USDC,funding,confirmed,BNB,perpetual_future,,0.000083724200913242
6fd42572-7cc4-494a-82d3-f166c1a9cbf2,2026-04-30T16:00:00Z,-5.990069000000,USDC,funding,confirmed,BTC,perpetual_future,,-0.000003129680365296803
8c834f89-c3f3-496e-b406-971ca326f9c3,2026-04-30T16:00:00Z,-2.725975000000,USDC,funding,confirmed,DOGE,perpetual_future,,0.0001
d25a149e-a400-4e6e-8591-cded9fe09119,2026-04-30T16:00:00Z,1.650648000000,USDC,funding,confirmed,HYPE,perpetual_future,,-0.00002103013698630137
